,artist,followers,popularity,genres
0,Will Varley,25485,41,['kent indie']
1,Bo Burnham,1408333,76,['comic']
2,Hozier,5097264,82,"['irish singer-songwriter', 'pop']"
3,Arctic Monkeys,14120172,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
4,The Crawling,1098,5,"['belfast metal', 'irish death metal', 'uk doom metal']"
5,McCafferty,227864,63,"['alternative emo', 'modern rock']"
6,The Kooks,2247803,71,"['brighton indie', 'modern rock', 'rock']"
7,Penelope Scott,687972,70,"['alt z', 'indie pop', 'modern indie pop']"
8,The Libertines,755068,61,"['alternative rock', 'britpop', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']"
9,MARINA,3532775,80,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']"
